"Index","RealEstate.Close"
2002-03-31,100.45
2002-04-30,105.7
2002-05-31,110.49
2002-06-30,108.65
2002-07-31,112.12
2002-08-31,113.31
2002-09-30,112.73
2002-10-31,115.62
2002-11-30,123.41
2002-12-31,126.89
2003-01-31,130.22
2003-02-28,137.53
2003-03-31,144.23
2003-04-30,141.44
2003-05-31,145.57
2003-06-30,154.51
2003-07-31,154.06
2003-08-31,150.81
2003-09-30,151.61
2003-10-31,171.14
2003-11-30,170.23
2003-12-31,178.91
2004-01-31,170.83
2004-02-29,173.92
2004-03-31,176.99
2004-04-30,182.48
2004-05-31,181.75
2004-06-30,183.72
2004-07-31,188.55
2004-08-31,198.4
2004-09-30,205.17
2004-10-31,210.78
2004-11-30,239.06
2004-12-31,252.73
2005-01-31,250.87
2005-02-28,267.41
2005-03-31,266.24
2005-04-30,273.94
2005-05-31,288
2005-06-30,297.39
2005-07-31,309.4
2005-08-31,328.98
2005-09-30,340.52
2005-10-31,348.12
2005-11-30,342.44
2005-12-31,379.19
2006-01-31,403.73
2006-02-28,430.8
2006-03-31,462.12
2006-04-30,458.45
2006-05-31,434.9
2006-06-30,374.34
2006-07-31,368.34
2006-08-31,415.11
2006-09-30,408.87
2006-10-31,449.39
2006-11-30,472.97
2006-12-31,486.75
2007-01-31,528.02
2007-02-28,545.84
2007-03-31,563.33
2007-04-30,607.21
2007-05-31,584.99
2007-06-30,565.14
2007-07-31,572.97
2007-08-31,576.34
2007-09-30,618.57
2007-10-31,646.89
2007-11-30,626.93
2007-12-31,615.84
2008-01-31,546.92
2008-02-29,571.32
2008-03-31,548.47
2008-04-30,513.98
2008-05-31,482.77
2008-06-30,440.71
2008-07-31,520.88
2008-08-31,560.75
2008-09-30,542.42
2008-10-31,506.75
2008-11-30,560.95
2008-12-31,588.32
2009-01-31,581.59
2009-02-28,565.45
2009-03-31,580.17
2009-04-30,603.69
2009-05-31,585.68
2009-06-30,575.08
2009-07-31,620.14
2009-08-31,632
2009-09-30,644.96
2009-10-31,658.2
2009-11-30,660.72
2009-12-31,671.08
2010-01-31,669.37
2010-02-28,707.87
2010-03-31,737.24
2010-04-30,750.9
2010-05-31,734.21
2010-06-30,741.98
2010-07-31,791.51
2010-08-31,814.61
2010-09-30,843.4
2010-10-31,855.02
2010-11-30,850.84
2010-12-31,869.84
2011-01-31,833.43
2011-02-28,823.41
2011-03-31,851.01
2011-04-30,882.61
2011-05-31,883.49
2011-06-30,893.83
2011-07-31,908.13
2011-08-31,933.16
2011-09-30,913.44
2011-10-31,936.77
2011-11-30,927.98
2011-12-31,947.49
2012-01-31,992.49
2012-02-29,1002.54
2012-03-31,1023.55
2012-04-30,1050.3
2012-05-31,1056.12
2012-06-30,1129.06
2012-07-31,1226.11
2012-08-31,1295.36
2012-09-30,1253
2012-10-31,1201.83
2012-11-30,1282.86
2012-12-31,1287.46
2013-01-31,1300.17
2013-02-28,1360.55
2013-03-31,1405.17
2013-04-30,1508.76
2013-05-31,1341.41
2013-06-30,1400.21
2013-07-31,1341.57
2013-08-31,1295
2013-09-30,1381.85
2013-10-31,1423.85
2013-11-30,1381.65
2013-12-31,1395.5
2014-01-31,1295.95
2014-02-28,1356.34
2014-03-31,1420.84
2014-04-30,1453.87
2014-05-31,1435.5
2014-06-30,1483.84
2014-07-31,1512.25
2014-08-31,1557.08
2014-09-30,1590.98
2014-10-31,1699.77
2014-11-30,1747.88
2014-12-31,1767.32
2015-01-31,1897.67
2015-02-28,1957.68
2015-03-31,2009.31
2015-04-30,2010.07
2015-05-31,1890.95
2015-06-30,1884.2
2015-07-31,1981.06
2015-08-31,1985.35
2015-09-30,2001.73
2015-10-31,2043.3
2015-11-30,2033.07
2015-12-31,1908.54
2016-01-31,1851.71
2016-02-29,1919.22
2016-03-31,2101.21
2016-04-30,2142.22
2016-05-31,2067.99
2016-06-30,2092.18
2016-07-31,2160.32
2016-08-31,2054.6
2016-09-30,2076.97
2016-10-31,2087.41
2016-11-30,2017.65
2016-12-31,2103.14
